author_id,job_title,institution_type,historical_publications,email_consent,country
A0001,Professor,Academic,14,True,United States
A0002,Pharma Research Scientist,Corporate,20,True,Japan
A0003,Pharma Research Scientist,Corporate,17,True,India
A0004,Clinical Researcher,Academic,17,False,Japan
A0005,Professor,Academic,16,True,United States
A0006,Professor,Academic,14,False,United Kingdom
A0007,AI Researcher,Academic,13,True,India
A0008,Clinical Researcher,Corporate,19,False,Japan
A0009,AI Researcher,Corporate,20,True,United Kingdom
A0010,Professor,Academic,11,True,Japan
A0011,Pharma Research Scientist,Corporate,15,False,India
A0012,Clinical Researcher,Academic,19,True,United States
A0013,Professor,Academic,20,True,India
A0014,Professor,Academic,17,True,Germany
A0015,Pharma Research Scientist,Corporate,19,True,Japan
A0016,Pharma Research Scientist,Corporate,17,False,United Kingdom
A0017,Professor,Academic,17,False,United Kingdom
A0018,Pharma Research Scientist,Corporate,0,True,India
A0019,Professor,Academic,14,True,India
A0020,Professor,Academic,14,False,India
A0021,Clinical Researcher,Academic,10,False,United Kingdom
A0022,Pharma Research Scientist,Corporate,12,True,United States
A0023,Clinical Researcher,Academic,18,True,United Kingdom
A0024,Professor,Academic,22,True,United States
A0025,Pharma Research Scientist,Corporate,18,False,India
A0026,Clinical Researcher,Academic,13,True,Germany
A0027,Pharma Research Scientist,Corporate,14,True,United Kingdom
A0028,Professor,Academic,14,True,India
A0029,Pharma Research Scientist,Corporate,12,False,United Kingdom
A0030,AI Researcher,Academic,16,False,India
A0031,Professor,Academic,15,True,United Kingdom
A0032,Professor,Academic,20,True,Japan
A0033,Pharma Research Scientist,Corporate,17,False,United Kingdom
A0034,Pharma Research Scientist,Corporate,9,True,Japan
A0035,Professor,Academic,18,True,United States
A0036,Pharma Research Scientist,Corporate,19,False,United Kingdom
A0037,Pharma Research Scientist,Corporate,10,True,United States
A0038,Pharma Research Scientist,Corporate,14,True,Germany
A0039,Pharma Research Scientist,Corporate,9,True,Japan
